,,u_-2_0,u_-1_0,u_0_0,u_1_0,u_2_0,u_-2_1,u_-1_1,u_0_1,u_1_1,u_2_1,u_-2_2,u_-1_2,u_0_2,u_1_2,u_2_2,u_-2_3,u_-1_3,u_0_3,u_1_3,u_2_3
alpha_120,b,-1.177723E+00,8.992600E-02,9.996087E-01,1.576607E-03,-4.046765E-05,1.307945E+01,-5.517071E+00,8.109960E-01,-5.199045E-02,1.105328E-03,-8.077250E+01,3.133532E+01,-4.710384E+00,2.929457E-01,-6.156199E-03,1.276301E+02,-4.931347E+01,7.151630E+00,-4.576809E-01,9.653212E-03
alpha_120,c,1.476695E+01,-4.696055E+00,1.599116E+00,-2.106347E-02,2.870298E-04,-1.490815E+02,4.808112E+01,-4.497817E+00,1.570012E-01,-1.684732E-03,3.277492E+02,-1.025448E+02,8.054987E+00,-1.884420E-01,1.195518E-04,-1.811515E+02,5.169213E+01,-2.704168E+00,-7.203246E-02,3.839509E-03
alpha_122,a,1.994610E+05,-4.583799E+04,2.682717E+03,-6.352544E+01,-1.860761E+01,-9.765654E+05,-5.245475E+04,7.792053E+04,-9.151458E+03,3.511241E+02,4.686362E+05,1.249061E+06,-4.199158E+05,4.195994E+04,-1.397897E+03,2.043913E+06,-2.260263E+06,5.774308E+05,-5.379815E+04,1.739812E+03
alpha_122,mu,-1.569202E+00,1.049097E-01,9.985147E-01,1.772412E-03,-4.592432E-05,1.083264E+01,-4.146819E+00,4.546554E-01,-2.316754E-02,4.135054E-04,2.323298E+00,1.118843E+00,4.158633E-02,-1.229309E-02,4.498992E-04,-6.954897E+01,2.414160E+01,-3.514821E+00,1.914978E-01,-3.819519E-03
alpha_122,sigma,-3.020756E-01,1.531367E-01,1.325849E-02,-5.701118E-04,1.048294E-05,-1.368281E+01,4.801324E+00,-6.378293E-01,3.621993E-02,-7.033565E-04,1.035711E+02,-3.659236E+01,4.754753E+00,-2.608788E-01,5.071650E-03,-1.736002E+02,6.276383E+01,-8.295636E+00,4.610660E-01,-8.970573E-03
alpha_122,lambda,-2.169883E+02,2.195800E+02,-6.125203E+01,7.196208E+00,-1.707606E-01,1.435528E+04,-5.802057E+03,8.287290E+02,-4.758080E+01,1.017439E+00,-5.956159E+04,2.261790E+04,-2.840197E+03,1.426041E+02,-2.496990E+00,4.963628E+04,-1.921713E+04,2.422929E+03,-1.088385E+02,1.442387E+00
alpha_122,b,9.770824E+00,-3.248111E+00,1.504361E+00,-1.990103E-02,3.214718E-04,-1.266622E+02,4.250795E+01,-4.779282E+00,2.194357E-01,-3.474036E-03,3.874836E+02,-1.321590E+02,1.429252E+01,-6.450552E-01,1.002269E-02,-3.312821E+02,1.128018E+02,-1.223062E+01,5.205870E-01,-7.803515E-03
alpha_122,c,-9.916267E-01,-8.804943E-02,1.027469E+00,9.428357E-04,-2.909666E-05,1.123429E+01,-5.418295E+00,7.820949E-01,-4.997300E-02,1.037626E-03,-7.815085E+01,3.259667E+01,-4.907646E+00,2.965010E-01,-6.045315E-03,1.262071E+02,-5.083533E+01,7.453432E+00,-4.679321E-01,9.576938E-03
alpha_200,a,2.232448E+04,-8.683222E+03,1.042927E+03,1.522639E-01,1.598234E-01,-1.126440E+05,6.002746E+04,-1.079756E+04,6.921396E+02,-1.600643E+01,3.951261E+05,-2.471346E+05,4.932451E+04,-3.565204E+03,8.220878E+01,-9.270640E+05,4.706602E+05,-8.323029E+04,5.761111E+03,-1.315627E+02
alpha_200,mu,-1.365506E+00,-4.593349E-02,1.025771E+00,-1.295073E-03,2.143299E-05,1.535316E+01,-4.114318E+00,2.549707E-01,-4.261063E-03,-3.273457E-05,-4.378257E+01,1.069370E+01,-3.809686E-01,-2.220810E-02,9.690602E-04,5.631869E+00,4.562021E+00,-1.852906E+00,1.389256E-01,-3.193093E-03
alpha_200,sigma,2.673148E-01,-9.038700E-02,4.793163E-02,-2.600772E-03,4.939016E-05,-1.356396E+01,5.609255E+00,-8.265577E-01,4.925684E-02,-9.805608E-04,7.875605E+01,-3.193508E+01,4.604367E+00,-2.710946E-01,5.474930E-03,-1.298476E+02,5.233208E+01,-7.534168E+00,4.455243E-01,-8.994478E-03
alpha_200,lambda,2.193567E+03,-8.327941E+02,1.057009E+02,-2.355606E+00,2.448250E-02,-4.128880E+03,1.061501E+03,-7.898192E+01,5.770341E+00,-9.333186E-02,-1.726314E+03,2.889494E+03,-5.885858E+02,1.745956E+01,4.755175E-02,8.435164E+03,-5.611872E+03,1.023414E+03,-3.381018E+01,-1.858918E-01
alpha_200,b,1.746581E-01,-1.583405E-01,1.066354E+00,-1.984921E-03,3.537966E-05,-9.342213E+00,4.294468E+00,-6.325848E-01,3.199045E-02,-5.639108E-04,3.509396E+01,-1.835574E+01,2.786791E+00,-1.450956E-01,2.526474E-03,-5.332546E+01,2.602459E+01,-4.134679E+00,2.087516E-01,-3.534790E-03
alpha_202,a,2.659978E+03,-7.535947E+02,1.165808E+02,-2.067381E+01,-1.714126E-01,-8.659100E+04,2.402609E+04,-1.218901E+03,-1.268341E+02,1.027287E+01,2.161311E+05,-3.423682E+04,-5.924453E+03,1.327558E+03,-5.895857E+01,1.917736E+04,-7.493320E+04,2.455273E+04,-2.710628E+03,9.746095E+01
alpha_202,mu,-1.225349E+00,-2.012528E-01,1.060866E+00,-1.886994E-03,2.471683E-05,2.140778E+01,-6.671859E+00,6.298148E-01,-2.638913E-02,3.912359E-04,-8.043182E+01,2.683994E+01,-2.844105E+00,1.213747E-01,-1.698610E-03,7.051666E+01,-2.257570E+01,2.130017E+00,-9.369359E-02,1.111882E-03
alpha_202,sigma,-1.074494E-01,3.073858E-02,3.652830E-02,-2.179905E-03,4.454732E-05,-9.588940E+00,4.155907E+00,-6.567018E-01,4.326748E-02,-9.302688E-04,6.784121E+01,-2.787825E+01,4.130321E+00,-2.557992E-01,5.492677E-03,-1.236536E+02,5.027475E+01,-7.367526E+00,4.496624E-01,-9.521454E-03
alpha_202,lambda,4.393266E+02,-3.237753E+02,6.344329E+01,-2.286481E+00,1.925610E-02,2.318759E+04,-7.453260E+03,8.172108E+02,-3.277617E+01,5.765269E-01,-1.049549E+05,3.555644E+04,-4.145557E+03,1.910616E+02,-3.055370E+00,1.093986E+05,-3.749928E+04,4.495648E+03,-2.068648E+02,3.124863E+00
alpha_202,b,-1.163327E+00,2.529216E-01,1.036922E+00,9.465832E-04,-3.834655E-06,1.710794E+01,-5.952004E+00,5.516479E-01,-2.612218E-02,3.090501E-04,-6.642914E+01,2.179362E+01,-2.342637E+00,1.050410E-01,-1.436487E-03,6.705519E+01,-2.151154E+01,2.215261E+00,-1.135575E-01,1.747933E-03
alpha_210,a,-3.411764E+04,1.391219E+04,-1.893037E+03,3.233958E+01,-8.628643E-01,-2.165788E+05,7.439048E+04,-7.044350E+03,1.157804E+02,2.155526E+00,2.216738E+06,-7.950961E+05,9.464417E+04,-4.267139E+03,6.094390E+01,-3.422111E+06,1.252241E+06,-1.569949E+05,7.865880E+03,-1.212752E+02
alpha_210,mu,-2.290005E+00,3.341420E-01,9.748855E-01,9.763878E-04,-1.220934E-05,1.403440E+01,-4.619456E+00,4.738607E-01,-2.117586E-02,3.128455E-04,-3.421227E+01,1.138189E+01,-1.114625E+00,4.915407E-02,-7.017289E-04,9.590721E+00,-1.493574E+00,-3.636607E-01,1.896429E-02,-4.194932E-04
alpha_210,sigma,-1.320604E-01,6.721064E-02,2.745061E-02,-1.626744E-03,3.277363E-05,-9.447567E+00,3.629498E+00,-5.048510E-01,2.922903E-02,-5.744195E-04,5.373344E+01,-2.043961E+01,2.785714E+00,-1.557171E-01,3.076579E-03,-8.274907E+01,3.213573E+01,-4.482806E+00,2.560664E-01,-5.062627E-03
alpha_210,lambda,5.686334E+02,-2.219893E+02,2.887584E+01,9.464544E-01,-7.025266E-03,-9.509733E+03,2.150031E+03,-4.453211E+01,-6.490299E+00,1.106515E-01,4.134466E+04,-9.337201E+03,2.426069E+02,2.999425E+01,-7.580675E-01,-3.455794E+04,6.250422E+03,3.222162E+02,-6.428628E+01,1.523107E+00
alpha_210,b,-1.353812E+00,3.519016E-01,1.005316E+00,1.228552E-03,-2.822893E-05,1.450516E+01,-5.807877E+00,6.663150E-01,-3.776861E-02,7.535436E-04,-7.025828E+01,2.492980E+01,-3.249329E+00,1.861961E-01,-3.787279E-03,8.931330E+01,-3.168996E+01,4.127621E+00,-2.587453E-01,5.483332E-03
alpha_212,a,3.221368E+05,-8.917740E+04,7.327499E+03,-2.778302E+02,2.293960E+01,-6.843643E+06,2.531078E+06,-3.414586E+05,2.053151E+04,-5.233855E+02,2.562991E+07,-1.000542E+07,1.434058E+06,-9.006233E+04,2.151058E+03,-2.693563E+07,1.088544E+07,-1.620989E+06,1.055282E+05,-2.550815E+03
alpha_212,mu,1.077645E+01,-4.196284E+00,1.535254E+00,-2.533867E-02,4.372268E-04,-2.553044E+02,8.835123E+01,-1.084937E+01,5.517732E-01,-9.918511E-03,1.356037E+03,-4.767206E+02,5.913110E+01,-3.041424E+00,5.519476E-02,-2.024291E+03,7.214074E+02,-9.071945E+01,4.706698E+00,-8.594733E-02
alpha_212,sigma,1.116015E+01,-3.952294E+00,5.309682E-01,-2.785343E-02,5.158350E-04,-2.519955E+02,9.164948E+01,-1.170637E+01,6.198669E-01,-1.154070E-02,1.316468E+03,-4.850928E+02,6.261003E+01,-3.338407E+00,6.253442E-02,-1.953027E+03,7.269420E+02,-9.471168E+01,5.092384E+00,-9.593451E-02
alpha_212,lambda,1.608682E+03,-1.566050E+03,2.494723E+02,-1.132757E+01,1.793489E-01,-1.444796E+04,2.379998E+04,-4.059829E+03,2.347474E+02,-4.337821E+00,-3.852016E+04,-8.450715E+04,1.663581E+04,-9.895595E+02,1.880803E+01,1.128651E+05,9.439068E+04,-2.031390E+04,1.233590E+03,-2.342216E+01
alpha_212,b,-3.101636E+00,1.232916E+00,9.452525E-01,6.660383E-03,-1.152079E-04,7.308167E+01,-2.093442E+01,2.267012E+00,-1.159116E-01,2.153366E-03,-2.908187E+02,7.912771E+01,-8.965912E+00,4.576025E-01,-8.878983E-03,3.474412E+02,-9.622288E+01,1.059111E+01,-5.498934E-01,1.087546E-02
alpha_212,c,-1.671118E+00,-9.642432E-02,1.017979E+00,2.263471E-03,-6.479550E-05,4.225279E+01,-1.689767E+01,2.365324E+00,-1.396748E-01,2.805831E-03,-2.919961E+02,1.118793E+02,-1.548276E+01,8.815591E-01,-1.740140E-02,4.805987E+02,-1.806242E+02,2.467024E+01,-1.417760E+00,2.808923E-02
alpha_220,a,8.715896E+04,-3.549386E+04,4.905156E+03,-2.507659E+02,5.721010E+00,-1.295917E+06,5.657879E+05,-8.585397E+04,5.162561E+03,-1.068572E+02,4.190145E+06,-1.877498E+06,2.939086E+05,-1.830440E+04,3.763268E+02,-3.879767E+06,1.745187E+06,-2.753404E+05,1.735933E+04,-3.558937E+02
alpha_220,mu,-1.755679E+01,5.515293E+00,3.506759E-01,3.300355E-02,-5.992175E-04,3.338596E+02,-1.182265E+02,1.459917E+01,-7.558798E-01,1.389846E-02,-1.410954E+03,5.188876E+02,-6.718099E+01,3.637391E+00,-6.940830E-02,1.686230E+03,-6.380132E+02,8.562791E+01,-4.839562E+00,9.584204E-02
alpha_220,sigma,-4.289985E+00,1.478376E+00,-1.427241E-01,7.115686E-03,-1.274983E-04,7.580466E+01,-2.627706E+01,3.163106E+00,-1.584876E-01,2.845742E-03,-2.914718E+02,1.041726E+02,-1.304471E+01,6.801851E-01,-1.253638E-02,2.976785E+02,-1.087719E+02,1.400795E+01,-7.547998E-01,1.439757E-02
alpha_220,lambda,-5.443370E+04,2.056287E+04,-2.810805E+03,1.684714E+02,-3.435635E+00,1.641611E+06,-6.364027E+05,8.809841E+04,-5.101185E+03,1.034801E+02,-1.026727E+07,4.067520E+06,-5.778525E+05,3.442972E+04,-7.151075E+02,1.696376E+07,-6.814590E+06,9.859527E+05,-6.015319E+04,1.283934E+03
alpha_220,b,2.263871E+01,-8.120061E+00,2.031327E+00,-5.234580E-02,9.508165E-04,-4.082017E+02,1.533485E+02,-1.986119E+01,1.057127E+00,-1.971357E-02,1.769020E+03,-6.816146E+02,9.169081E+01,-5.062029E+00,9.718489E-02,-2.253886E+03,8.819969E+02,-1.220237E+02,6.938513E+00,-1.365782E-01
alpha_222,a,-8.918543E+03,3.957717E+03,-7.205331E+02,6.877375E+01,-1.075236E+00,1.680199E+05,-6.709282E+04,9.513467E+03,-5.547038E+02,9.029059E+00,-6.900143E+05,2.692420E+05,-3.680642E+04,2.026778E+03,-3.499457E+01,8.663727E+05,-3.374162E+05,4.618164E+04,-2.563736E+03,4.521418E+01
alpha_222,mu,2.293535E+00,-1.429195E+00,1.207816E+00,-8.738250E-03,1.479830E-04,-1.854276E+01,8.451884E+00,-1.390991E+00,8.336873E-02,-1.643388E-03,7.340618E+01,-3.331176E+01,5.503375E+00,-3.554821E-01,7.444075E-03,-1.378016E+02,5.915780E+01,-9.283129E+00,5.677808E-01,-1.187624E-02
alpha_222,sigma,1.313750E+00,-4.759989E-01,1.003715E-01,-5.391672E-03,1.005895E-04,-2.183615E+01,8.651030E+00,-1.248696E+00,7.532333E-02,-1.502906E-03,1.005687E+02,-4.010308E+01,5.775275E+00,-3.483689E-01,7.227875E-03,-1.549380E+02,6.206665E+01,-8.968645E+00,5.421475E-01,-1.138576E-02
alpha_222,lambda,5.619929E+03,-1.979777E+03,2.371851E+02,-8.996053E+00,1.402925E-01,-5.882485E+04,2.183108E+04,-2.836559E+03,1.529162E+02,-2.751441E+00,2.332395E+05,-8.924206E+04,1.212470E+04,-6.837609E+02,1.313600E+01,-3.151726E+05,1.216092E+05,-1.668057E+04,9.642113E+02,-1.924260E+01
alpha_222,b,-9.873552E-01,1.693124E-01,1.045105E+00,1.513573E-04,-6.177145E-07,1.950298E+01,-6.238248E+00,5.205659E-01,-1.890170E-02,2.243256E-04,-7.207683E+01,2.094777E+01,-1.830337E+00,5.301491E-02,-4.128397E-04,5.022520E+01,-1.161296E+01,3.972269E-01,1.540706E-02,-9.201673E-04
beta_111,a,1.818877E+05,-8.366588E+04,8.197375E+03,-2.983410E+02,-4.344058E+00,-1.359202E+06,4.460313E+05,-2.271621E+04,-1.699201E+03,1.455177E+02,4.377001E+05,4.343896E+05,-2.057585E+05,2.346224E+04,-8.666315E+02,5.317806E+06,-2.879782E+06,5.686560E+05,-4.701909E+04,1.410521E+03
beta_111,mu,-1.371426E+00,-2.453904E-02,1.023498E+00,-5.407248E-04,5.990911E-06,2.055042E+01,-6.534229E+00,6.527041E-01,-3.056639E-02,5.220504E-04,-8.103991E+01,2.680226E+01,-2.915858E+00,1.401019E-01,-2.483823E-03,7.758482E+01,-2.548861E+01,2.702520E+00,-1.469861E-01,2.849773E-03
beta_111,sigma,1.273147E-01,-2.189174E-02,3.702392E-02,-1.819072E-03,3.522686E-05,-8.519431E+00,3.525678E+00,-5.259990E-01,3.196397E-02,-6.453362E-04,5.229249E+01,-2.123821E+01,3.074712E+00,-1.829594E-01,3.763743E-03,-9.373602E+01,3.782097E+01,-5.466032E+00,3.257186E-01,-6.685669E-03
beta_111,lambda,1.070325E+03,-4.783095E+02,6.901466E+01,-3.412233E+00,5.471066E-02,3.354941E+03,-7.508427E+02,1.265092E+01,5.888310E+00,-1.632515E-01,-8.855468E+03,1.420421E+03,1.381328E+02,-2.490526E+01,8.392451E-01,-2.217971E+04,1.058025E+04,-1.725687E+03,1.164669E+02,-2.688020E+00
beta_111,b,3.364179E+00,-9.945295E-01,1.217809E+00,-3.908052E-03,3.783751E-05,-3.492558E+01,8.828658E+00,-3.835151E-01,-1.838144E-02,8.767498E-04,5.235954E+00,1.403070E+01,-4.730404E+00,3.847407E-01,-8.918518E-03,1.312377E+02,-6.563289E+01,1.118715E+01,-7.525848E-01,1.567451E-02
beta_121,a,-3.068719E+05,4.542967E+03,1.163889E+04,-2.198952E+02,3.997680E+01,-2.884297E+06,2.561229E+06,-5.676422E+05,4.164320E+04,-1.150203E+03,2.628241E+07,-1.463102E+07,2.716359E+06,-1.943346E+05,4.967993E+03,-3.938368E+07,1.950062E+07,-3.392919E+06,2.400856E+05,-6.114651E+03
beta_121,mu,-7.223863E-01,-3.004999E-01,1.060188E+00,-2.255452E-03,3.342373E-05,1.401370E+01,-3.599455E+00,2.067035E-01,-3.319801E-03,-3.223869E-05,-3.442483E+01,7.212701E+00,4.784245E-03,-3.757680E-02,1.220911E-03,-1.786093E+01,1.361273E+01,-3.018597E+00,1.969822E-01,-4.249078E-03
beta_121,sigma,2.220484E-01,-6.856302E-02,4.296025E-02,-2.130486E-03,3.969538E-05,-9.989404E+00,4.237345E+00,-6.355137E-01,3.826191E-02,-7.651382E-04,6.243215E+01,-2.561374E+01,3.729040E+00,-2.204102E-01,4.477550E-03,-1.103092E+02,4.475506E+01,-6.479062E+00,3.834576E-01,-7.762865E-03
beta_121,lambda,8.769975E+02,-3.624845E+02,4.274478E+01,-5.121016E-01,-8.168200E-03,2.130022E+04,-7.205441E+03,8.489917E+02,-4.049207E+01,7.572381E-01,-9.760799E+04,3.379001E+04,-4.046482E+03,2.062917E+02,-3.686235E+00,9.480900E+04,-3.330536E+04,4.155697E+03,-2.166258E+02,3.933134E+00
beta_121,b,-5.806648E-01,-6.937185E-02,1.020873E+00,1.554027E-03,-4.359185E-05,1.305914E+01,-6.245421E+00,9.653649E-01,-6.410315E-02,1.369634E-03,-9.280031E+01,3.858614E+01,-6.028287E+00,3.780028E-01,-7.979043E-03,1.633281E+02,-6.585901E+01,9.834343E+00,-6.254056E-01,1.317846E-02
beta_121,c,8.350412E+00,-2.255096E+00,1.255298E+00,8.829181E-05,-1.171752E-04,-6.033935E+01,1.211620E+01,8.162704E-01,-1.554568E-01,4.403844E-03,-3.858635E+01,4.672521E+01,-1.375461E+01,1.080393E+00,-2.443729E-02,2.494297E+02,-1.224222E+02,2.238059E+01,-1.521180E+00,3.147896E-02
beta_211,a,-2.553445E+04,1.022958E+04,-1.123773E+03,-5.362334E+01,8.653680E-01,-3.252897E+05,1.088783E+05,-1.141135E+04,4.097780E+02,-1.075196E+00,1.868457E+06,-6.210850E+05,6.517510E+04,-2.261207E+03,6.240309E+00,-2.288429E+06,7.595141E+05,-7.979824E+04,2.748303E+03,4.770947E+00
beta_211,mu,-7.713429E-01,-2.646608E-01,1.053791E+00,-1.961810E-03,2.834771E-05,1.232613E+01,-3.680491E+00,3.212503E-01,-1.397414E-02,2.290039E-04,-4.621625E+01,1.521516E+01,-1.535051E+00,6.898672E-02,-1.131541E-03,3.501666E+01,-1.088369E+01,8.592114E-01,-4.721113E-02,8.480640E-04
beta_211,sigma,2.617702E-01,-7.395925E-02,4.379589E-02,-2.161790E-03,4.052260E-05,-1.070753E+01,4.268840E+00,-6.128568E-01,3.620681E-02,-7.186499E-04,6.118476E+01,-2.411118E+01,3.415864E+00,-1.995484E-01,4.053383E-03,-1.023559E+02,4.058264E+01,-5.793801E+00,3.414024E-01,-6.947308E-03
beta_211,lambda,1.805062E+03,-7.099925E+02,9.571345E+01,-2.924552E+00,3.504093E-02,-4.074542E+03,1.036694E+03,-2.629970E+01,-1.870640E+00,1.357447E-01,-1.057330E+03,2.867565E+03,-8.357671E+02,6.424683E+01,-1.447732E+00,1.024543E+04,-6.954665E+03,1.537332E+03,-1.042907E+02,2.177076E+00
beta_211,b,-1.363529E+00,4.052583E-01,9.995708E-01,2.800652E-03,-5.438045E-05,1.735056E+01,-7.563959E+00,9.666925E-01,-5.884556E-02,1.160481E-03,-9.094068E+01,3.525628E+01,-4.966431E+00,2.958448E-01,-6.032737E-03,1.327885E+02,-5.098646E+01,7.139069E+00,-4.463026E-01,9.337061E-03
beta_221,a,1.039234E+05,-4.005566E+04,5.252773E+03,-2.488866E+02,6.356530E+00,-1.781058E+06,7.442362E+05,-1.102472E+05,6.670473E+03,-1.445118E+02,7.660637E+06,-3.244498E+06,4.910205E+05,-3.062559E+04,6.564934E+02,-1.020801E+07,4.289400E+06,-6.471623E+05,4.060146E+04,-8.732356E+02
beta_221,mu,-6.563140E+00,1.712441E+00,8.111031E-01,1.034605E-02,-1.876098E-04,1.290959E+02,-4.375768E+01,5.055812E+00,-2.455960E-01,4.216892E-03,-5.225091E+02,1.828471E+02,-2.200702E+01,1.094633E+00,-1.907934E-02,5.677517E+02,-2.031307E+02,2.514986E+01,-1.305551E+00,2.337264E-02
beta_221,sigma,-1.349258E+00,4.598436E-01,-1.862566E-02,8.424935E-04,-9.710171E-06,1.850715E+01,-5.372758E+00,4.716400E-01,-1.380408E-02,9.073312E-05,-5.073317E+01,1.333307E+01,-8.776811E-01,-5.314363E-04,8.269095E-04,9.060024E+00,2.775338E+00,-1.372916E+00,1.332712E-01,-3.543504E-03
beta_221,lambda,-8.779090E+03,3.413334E+03,-4.991798E+02,3.560173E+01,-7.283252E-01,2.966795E+05,-1.108524E+05,1.454154E+04,-7.757964E+02,1.430773E+01,-1.603446E+06,6.096770E+05,-8.153567E+04,4.420649E+03,-8.103387E+01,2.321737E+06,-8.959018E+05,1.222658E+05,-6.797098E+03,1.261929E+02
beta_221,b,8.896724E+00,-3.239758E+00,1.428392E+00,-2.065144E-02,3.736449E-04,-1.486034E+02,5.693254E+01,-7.448285E+00,3.940282E-01,-7.281762E-03,5.961472E+02,-2.351856E+02,3.201237E+01,-1.753312E+00,3.312133E-02,-7.286208E+02,2.902664E+02,-4.060271E+01,2.273640E+00,-4.367617E-02
